>>> GET http://detectportal.firefox.com/success.txt?ipv4
>>> CONNECT firefox-settings-attachments.cdn.mozilla.net:443
>>> CONNECT firefox-settings-attachments.cdn.mozilla.net:443
>>> CONNECT firefox-settings-attachments.cdn.mozilla.net:443
>>> CONNECT firefox-settings-attachments.cdn.mozilla.net:443
>>> CONNECT ads-img.mozilla.org:443
>>> CONNECT ads-img.mozilla.org:443
>>> CONNECT ads-img.mozilla.org:443
>>> CONNECT ads.mozilla.org:443
>>> CONNECT merino-images.services.mozilla.com:443
>>> CONNECT merino-images.services.mozilla.com:443
>>> CONNECT merino-images.services.mozilla.com:443
>>> CONNECT img-getpocket.cdn.mozilla.net:443
>>> CONNECT img-getpocket.cdn.mozilla.net:443
>>> CONNECT img-getpocket.cdn.mozilla.net:443
>>> CONNECT img-getpocket.cdn.mozilla.net:443
>>> CONNECT img-getpocket.cdn.mozilla.net:443
>>> CONNECT img-getpocket.cdn.mozilla.net:443
>>> CONNECT fonts.gstatic.com:443
